Historic Coal Production Data: 2001,,,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons),Average Employees,Labor Hours
2001,1103017,Wildcat Hills Mine,Illinois,Gallatin,Illinois Basin,Active,Underground,Contractor,Mine and Preparation Plant,Black Beauty Coal Co,"P.O. Box 312, Evansville, IN 47702",,0,2,"4,388"
2001,1103020,Creek Paum Mine,Illinois,Jackson,Illinois Basin,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Knight Hawk Coal Llc,"984 East Sugar Hill Rd, Ava, IL 62907",,"1,203,936",54,"149,685"
2001,1100601,Rend Lake,Illinois,Jefferson,Illinois Basin,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Consolidation Coal Company,"P.O.Box 566,state Rt.148, Sesser, IL 62884",United Mine Workers of America,"1,951,480",379,"817,005"
2001,1102668,Industry Mine,Illinois,Mcdonough,Illinois Basin,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Freeman United Coal Mining Co.,"P.O. Box 4630, Springfield, IL 62708",United Mine Workers of America,"482,638",79,"188,535"
2001,1100726,No 1 Mine,Illinois,Macoupin,Illinois Basin,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Monterey Coal Company,"14300 Brushy Mound Road, Carlinville, IL 62626",United Mine Workers of America,"3,200,311",328,"718,269"
2001,1102236,Crown Ii Mine,Illinois,Macoupin,Illinois Basin,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Freeman United Coal Mining Com,"P. O. Box 4630, Springfield, IL 62708",United Mine Workers of America,"1,421,282",215,"448,384"
2001,1102632,Crown Iii Mine,Illinois,Montgomery,Illinois Basin,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Freeman United Coal Mining Co.,"P. O. Box 4630, Springfield, IL 62708",United Mine Workers of America,"2,427,808",225,"503,043"
2001,1103045,Razorback Ii,Illinois,Perry,Illinois Basin,Active,Surface,Contractor,Mine only,Illini Energy Resources Llc,"P.O. Box 1523, Murphysboro, IL 62966",International Union of Operation Engineers,"396,463",26,"71,038"
2001,1102408,Zeigler #11,Illinois,Randolph,Illinois Basin,Active,Underground,Operating Subsidiary,Mine only,Old Ben Coal Company,"P. O. Box 397, Coulterville, IL 62237",United Mine Workers of America,"2,634,000",157,"395,650"
2001,1102546,Central Cleaning Plant,Illinois,Randolph,Illinois Basin,Active,Underground,Operating Subsidiary,Preparation Plant,Old Ben Coal Company,"P. O. Box 369, Coulterville, IL 62237",United Mine Workers of America,0,20,"48,676"
2001,1101999,Randolph Prep Plant,Illinois,St Clair,Illinois Basin,"Active, men working, not producing",Underground,Operating Subsidiary,Preparation Plant,Peabody Coal Company,"P.O. Box 148, Graham, KY 42344",United Mine Workers of America,0,15,"19,377"
2001,1102752,Galatia Mine,Illinois,Saline,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,American Coal Company,"P.O. Box 727, Harrisburg, IL 62946",,"7,009,349",588,"1,414,150"
2001,1102879,Big Ridge Mine Maintenance Sho,Illinois,Saline,Illinois Basin,Active,Underground,Indepedent Producer Operator,Preparation Plant,Big Ridge Inc.,"P.O. Box 444, Harrisburg, IL 62946",International Brotherhood of Electrical Workers,0,53,"135,877"
2001,1102997,Big Ridge Mine Portal No 2,Illinois,Saline,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Big Ridge Inc,"P.O. Box 444, Harrisburg, IL 62946",International Brotherhood of Electrical Workers,"1,658,072",141,"359,621"
2001,1102664,Elkhart Mine,Illinois,Sangamon,Illinois Basin,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Turris Coal Company,"8100 E. Main, Williamsville, IL 62693",,"2,075,250",214,"432,279"
2001,1102971,Riola #1 Mine,Illinois,Vermilion,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine only,Black Beauty Coal Company,"6641 State Road 46, Terre Haute, IN 47802",,"1,032,531",85,"240,042"
2001,1103060,Vermilion Grove Mine,Illinois,Vermilion,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine only,Black Beauty Coal Company,"P.O. Box 312, Evansville, IN 47702",,"32,977",26,"42,387"
2001,1100877,Wabash Mine,Illinois,Wabash,Illinois Basin,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Wabash Mine Holding Company,"P. O. Box 144, Keensburg, IL 62852",United Mine Workers of America,"1,463,407",191,"412,826"
2001,1102662,Pattiki,Illinois,White,Illinois Basin,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"White County Coal, Llc","P. O. Box 457, Carmi, IL 62821",,"1,889,486",207,"487,063"
2001,1102870,Cottonwood Dba Tiger #1,Illinois,Williamson,Illinois Basin,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,Cottonwood Coal Company,"9177 Crenshaw Rd, Marion, IL 62959",,"9,469",5,"4,924"
2001,1103092,Cambria #1,Illinois,Williamson,Illinois Basin,Active,Surface,Indepedent Producer Operator,Mine only,S Coal Company,"P.O. Box 219, Cambria, IL 62915",,"13,926",16,"16,302"
2001,1202096,Eel Mine,Indiana,Clay,Illinois Basin,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Black Beauty Coal Co,"P.O. Box 312, Evansville, IN 47702",,"39,584",27,"16,174"
2001,1202294,Miller Creek Mine-Sugar Ridge,Indiana,Clay,Illinois Basin,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Black Beauty Coal Company,"P.O. Box 312, Evansville, IN 47702",,"473,874",36,"100,283"
